市,年份,供地面积_公顷,成交价格_万元,平均价格_万元每公顷,制造业_总面积,制造业_总价值,制造业_平均价格,制造业_占比,房地产业_总面积,房地产业_总价值,房地产业_平均价格,房地产业_占比,高科技产业_总面积,高科技产业_总价值,高科技产业_平均价格,高科技产业_占比,生产性服务业_总面积,生产性服务业_总价值,生产性服务业_平均价格,生产性服务业_占比,消费性服务业_总面积,消费性服务业_总价值,消费性服务业_平均价格,消费性服务业_占比,第二产业_总面积,第二产业_总价值,第二产业_平均价格,第二产业_占比,第三产业_总面积,第三产业_总价值,第三产业_平均价格,第三产业_占比,商住用地_总面积,商住用地_总价值,商住用地_平均价格,商住用地_占比,工业用地_总面积,工业用地_总价值,工业用地_平均价格,工业用地_占比,供地方式_作价出资或入股,供地方式_划拨,供地方式_协议出让,供地方式_拍卖出让,供地方式_招标出让,供地方式_挂牌出让,供地方式_授权经营,供地方式_租赁,土地来源_新增建设用地,土地来源_新增建设用地(来自存量库),土地来源_现有建设用地,供地方式_价格_划拨,供地方式_价格_挂牌出让,供地方式_价格_拍卖出让,供地方式_价格_协议出让,供地方式_价格_租赁,供地方式_价格_招标出让,供地方式_价格_作价出资或入股,供地方式_价格_授权经营
石家庄,2008,287.6691,95982.6062,333.66,77.7639,21735.8551,279.51,0.2703,60.264,41824.937999999995,694.03,0.2095,1.7336,5678.9385,279.8772494172299,0.012440659340661853,0.6596,345.0,523.04,0.0023,15.563600000000001,1280.575,82.28,0.0541,130.6011,30995.553099999997,237.33,0.454,127.18650000000002,54643.01299999999,429.63,0.4421,60.934,451933.26194611937,1729.1480451127863,0.2118,184.8177,75167.6255,139.6012531328597,0.6425,0.0,20.9013,49.300200000000004,0.6735,75.0569,141.7372,0.0,4.1329,148.5196,44.0722,95.0773,46.95120660337852,365.1588863050773,726.5775798069785,159.50560241134923,459.4314127513135,477.94406643493136,0.0,0.0
石家庄,2009,540.2658,105353.73180000001,195.0,203.5228,37390.20100095123,228.64965884074627,0.3767,43.9453,106051.09806351364,729.8420579599915,0.0813,1.7336,5678.9385,315.7812004661828,0.0032,174.627,2497.829418266192,311.39939838589817,0.3232,33.7614,7379.398635212332,236.69872707260947,0.0625,238.7978,44019.7784396112,224.4301797505177,0.442,281.3152,141749.94082322717,635.1688848128542,0.5207,76.2304,461942.028230831,1880.9029323308496,0.1411,267.6388,75167.6255,180.11812030078727,0.4954,0.0,193.6696,79.4867,0.6735,46.2757,220.8338,0.0,4.1329,251.7939,275.1374,13.3345,10.036371221916088,320.88328462400233,1092.5112084702705,265.50129644330434,430.33105360567424,247.30678952452365,0.0,0.0
石家庄,2010,337.3733,116677.2884,345.84,102.7739,41709.34084687941,266.7974614819832,0.3046,122.85419999999999,154284.03919018805,1059.0069258983713,0.3641,20.835500000000003,5678.9385,351.68515151513566,0.0618,19.9962,5188.221613350324,315.52735143065365,0.0593,7.831299999999999,11384.259823326953,253.56396918559767,0.0232,136.20440000000002,50628.36160123907,260.9676815847197,0.4037,153.30069999999998,199751.5110872537,696.638261188491,0.4544,124.74119999999999,471950.7945155427,2032.6578195489128,0.3697,184.103,75167.6255,220.63498746870027,0.5457,0.0,4.975,86.8715,0.6735,60.6413,184.8855,0.0,4.1329,311.6997,7.5667,18.1069,96.8170854271357,417.2814666374594,1352.9951081501204,216.32331432057694,401.23069446002773,333.9967975620575,0.0,0.0
石家庄,2011,541.0671,380511.8838,703.26,218.28040000000001,57120.5422,261.68,0.4034,135.7893,219001.7027,1612.81,0.251,18.354599999999998,5678.9385,309.4,0.0339,37.761900000000004,10624.9826,281.37,0.0698,42.775999999999996,9230.4855,215.79,0.0791,235.8334,65740.5422,278.76,0.4359,290.67609999999996,309635.17079999996,1065.22,0.5372,177.64669999999998,481959.56080025434,2184.412706766918,0.3283,281.9281,7068.421160168946,261.1518546366133,0.5211,0.0,55.062,6.3368,6.6667,3.539,476.1293,0.0,4.1329,498.1196,23.7745,19.173000000000002,198.58651883331518,763.6314427614516,1613.4790078300284,293.99832723141014,372.1303353143885,1166.1486295563718,0.0,0.0
石家庄,2012,665.1929,353337.4988,531.18,149.2202,63260.1739,423.94,0.2243,97.3543,139690.3341,1434.87,0.1464,11.296999999999999,4006.4465,354.65,0.017,22.3571,10292.5837,460.37,0.0336,105.2816,27736.923199999997,263.45,0.1583,217.14860000000002,83774.3728,385.79,0.3264,271.6772,199375.1715,733.87,0.4084,133.2629,491968.327084966,2336.167593984981,0.2003,365.2251,27676.4333909899,301.66872180454084,0.5491,0.0,121.3095,122.5308,6.6667,8.338899999999999,406.347,0.0,4.1329,517.5524,97.61399999999999,50.0265,123.52984803333622,714.1575446601058,434.997825010875,344.9367742641034,343.0299761687493,358.68040149180354,0.0,0.0
石家庄,2013,768.0611,388533.5914,505.86,218.2963,78234.65099999998,358.39,0.2842,127.5975,225900.3573,1770.41,0.1661,21.803,6842.3215,313.82,0.0284,18.157600000000002,4244.4755000000005,233.76,0.0236,35.577799999999996,14947.3968,420.13,0.0463,231.9079,83374.14069999999,359.51,0.3019,532.3795,303803.45070000004,570.65,0.6931,205.9664,501977.09336967766,2487.9224812030443,0.2682,267.7426,48284.445621818304,342.18558897245384,0.3486,0.0,281.81640000000004,49.12327746113897,14.11509553990254,17.2056,469.0391,0.0,4.1329,743.5904,7.8823,16.5884,35.2756631622574,787.2769289383338,2134.446807189728,351.73444881532123,313.92961702311004,542.1879388106197,0.0,0.0
石家庄,2014,1565.0425,397115.5145,253.74,130.95659999999998,46545.2967,355.43,0.0837,111.2149,193417.9921,1739.14,0.0711,11.1537,6518.0388,584.38,0.0071,728.4780999999999,15108.5118,20.74,0.4655,195.88269999999997,57596.387,294.04,0.1252,179.34769999999997,58865.5383,328.22,0.1146,1370.0865,334030.68370000005,243.8,0.8754,140.7851,248535.73170000003,1765.36,0.09,224.8825,75167.6255,334.25,0.1437,0.0,1116.8806,64.3955,16.008,1.7454,366.013,0.0,4.1329,1032.592,515.1952,17.255300000000002,35.04108514374769,784.5208435219515,2974.512743628186,326.000711229822,284.82925787746353,1274.7794201902143,0.0,0.0
石家庄,2015,577.5556,495218.659,857.44,164.2924,80494.8943,489.95,0.2845,168.5313,317939.0139,1886.53,0.2918,9.6745,7386.0,763.45,0.0168,77.9128,23382.6181,300.11,0.1349,46.308,25621.403899999998,553.28,0.0802,191.48020000000002,89339.4748,466.57,0.3315,365.4577000000001,393100.7452,1075.64,0.6328,194.0394,521994.625939101,2791.4322556391126,0.336,246.0552,89500.47008346766,423.2193233082944,0.426,0.0,114.9418,7.5723,42.6584,1.7454,412.3831,0.0,4.1329,481.8299,39.4387,56.287,113.15181770252424,952.2516904790715,1998.3831789284172,564.2212141621436,255.7288987318243,1057.9994296197838,0.0,0.0
石家庄,2016,772.2843,554659.9096,718.21,123.5446,49844.3874,403.45,0.16,164.5133,410997.24770000007,2498.26,0.213,14.6429,10279.0,701.98,0.019,257.6217,26285.897300000004,102.03,0.3336,69.9801,14165.8749,202.43,0.0906,126.3018,51017.5194,403.93,0.1635,586.0774,479418.6143000001,818.01,0.7589,166.54240000000001,412429.16449999996,2476.42,0.2156,217.8866,99688.0431,457.52,0.2821,0.0,394.7061,4.0157,25.477899999999998,1.7454,348.0846,0.0,4.1329,681.8163000000001,26.1071,64.3609,74.91272316287993,1427.81422332387,1079.9236985779835,143.70346390417612,226.62853958618507,1165.3191426114936,0.0,0.0
石家庄,2017,518.0769,714189.3807,1378.54,60.813399999999994,34004.4174,559.16,0.1174,177.5658,536513.75,3021.49,0.3427,21.870800000000003,11955.7342,546.65,0.0422,35.274499999999996,13642.390599999999,386.75,0.0681,66.1122,33368.16620000001,504.72,0.1276,148.40300000000002,85893.1776,578.78,0.2864,352.749,616260.3911,1747.02,0.6809,224.91510000000002,571546.8769,2541.17,0.4341,189.1477,109083.39940000002,576.71,0.3651,0.0,50.2364,10.4924,3.2018,1.7454,454.1463,0.0,4.1329,467.511,1.0605,49.5054,207.18411152072997,1457.32251215082,8151.6646886126555,1510.004384125653,197.52818044054584,1272.6388556032034,0.0,0.0
石家庄,2018,796.8615,1358206.135,1704.44,130.9028,60749.56210000001,464.08,0.1643,221.5931,1106720.3031,4994.38,0.2781,13.715,8469.8561,617.56,0.0172,52.9353,23149.8247,437.32,0.0664,75.3335,37033.3702,491.59,0.0945,177.54410000000004,87669.2823,493.79,0.2228,533.0483000000002,1209438.1715999998,2268.91,0.6689,270.8136,1138620.5813999998,4204.44,0.3399,280.4257,150794.0882,537.73,0.3519,0.0,214.7347,14.1063,50.04255798121994,1.7454,563.8876,0.0,4.1329,669.846,49.620999999999995,77.3945,134.9153797686168,2348.522828663017,3436.8663055892102,309.862969028023,135.78842943211788,1379.9585685948841,0.0,0.0
石家庄,2019,903.8427,1251424.5653,1384.56,100.97579999999999,45374.2625,449.36,0.1117,160.3011,1034927.1813,6456.15,0.1774,15.5163,8233.0,530.6,0.0172,70.6882,19386.04,274.25,0.0782,131.747,56947.88429999999,432.25,0.1458,224.99539999999996,111505.4725,495.59,0.2489,654.3764999999999,1127826.5243000004,1723.51,0.724,106.4725,638630.982,5998.08,0.1178,248.35399999999998,128252.9625,516.41,0.2748,0.0,450.4244,35.501,42.494,1.7454,372.5446,0.0,2.8787,775.0337,60.969800000000006,67.8392,99.41878193099663,2984.1527433225447,1985.174377559185,280.7506830793499,204.60624587487408,1487.278281586594,0.0,0.0
石家庄,2020,860.6312,1092615.5757,1269.55,185.93399999999997,151690.11669999998,815.83,0.216,139.4466,712470.3936,5109.27,0.162,67.07610000000001,65901.0,982.48,0.0779,109.01910000000001,74426.5857,682.69,0.1267,106.87839999999998,53711.653999999995,502.55,0.1242,244.01579999999996,189998.61279999997,778.63,0.2835,573.7955000000002,873012.9629,1521.47,0.6667,157.1911,665103.0754,4231.18,0.1826,399.3756,321852.6155,805.89,0.464,0.0,275.7518,9.3681,38.3825,1.7454,519.3859,0.0,17.7429,760.0763,18.5383,82.0166,132.55002143231704,1424.7759088184719,8139.646974532665,241.19298470340837,77.58771114079435,1594.5979945782747,0.0,0.0
石家庄,2021,964.4734,841135.9163,872.12,156.2351,94327.5,603.75,0.162,94.47269999999999,484174.71369999996,5125.02,0.098,40.4944,28919.0,714.15,0.042,83.9432,36263.6422,432.0,0.087,203.45049999999998,94278.3333,463.4,0.2109,190.535,113026.27519999999,593.2,0.1976,717.1692,696531.6706,971.22,0.7436,151.82160000000002,497088.2864,3274.16,0.1574,344.9002,208171.48860000004,603.57,0.3576,0.0,465.029,44.8895,58.263000000000005,1.7454,363.5425,0.0,32.7494,814.7471,59.62859999999999,90.09769999999999,273.5741899967529,1442.8037957047663,2959.167911024149,378.38437496519225,81.12674385798164,1701.9177075699845,0.0,0.0
石家庄,2022,909.6556,535812.8783,589.03,96.44260000000001,87094.4,903.07,0.106,101.5125,247818.1076,2441.26,0.1116,75.419,45373.0,601.61,0.0829,52.513400000000004,14764.135600000001,281.15,0.0577,173.7849,26446.373700000004,152.18,0.191,141.9683,109221.0594,769.33,0.1561,729.5175999999999,407812.4145000001,559.02,0.802,141.5041,274238.9989,1938.03,0.1556,277.0272,179409.8681,647.63,0.3045,0.0,473.6561,60.0964,151.6319,1.7454,195.2743,0.0,28.996900000000004,756.7765,93.5787,59.300399999999996,204.93781944326273,803.6827682905533,1750.8716833331246,271.5011215314062,52.02638471233513,1809.2374205616943,0.0,0.0
唐山,2008,355.8014,90935.9914,255.58,87.938,44126.70531289466,191.71188153310413,0.2472,117.2274,219404.96262753755,945.3725435540546,0.3295,0.3335,300.114,533.1925494505413,0.0003,53.3315,49824.29913832992,405.34160278744093,0.1499,49.4852,3033.0057,259.7277351916299,0.1391,111.17790000000001,87580.76728641242,175.8933101045286,0.3125,220.28,273951.21768818796,743.971289198591,0.6191,138.5829,660851.7672710754,1561.481642857194,0.3895,178.2346,115595.31927857175,148.89864285714793,0.5009,0.0,23.413,31.040100000000002,11.828800000000001,18.333199999999998,271.1863,0.0,0.0,185.5292,21.5077,148.7645,105.17214368086107,265.8305729308597,460.4039885702692,181.329264403143,0.0,289.61017716492483,0.0,0.0
