年份,省份,被撤并县,新设立区,地级市
2009,江苏省,通州市,通州区,南通市
2009,宁夏回族自治区,吴忠市（部分）,红寺堡区,吴忠市
2011,贵州省,毕节市,七星关区,毕节市
2011,贵州省,铜仁市（部分）,碧江区,铜仁市
2011,贵州省,万山特区和铜仁市（部分）,万山区,铜仁市
2011,湖南省,望城县,望城区,长沙市
2011,江苏省,江都市,江都区,扬州市
2011,四川省,南溪县,南溪区,宜宾市
2011,云南省,呈贡县,呈贡区,昆明市
2012,安徽省,当涂县（部分）,博望区,马鞍山市
2012,广东省,清新县,清新区,清远市
2012,广东省,揭东县,揭东区,揭阳市
2012,河北省,唐海县,曹妃甸区,唐山市
2012,江苏省,吴江市,吴江区,苏州市
2012,江苏省,姜堰市,姜堰区,泰州市
2012,四川省,名山县,名山区,雅安市
2013,广东省,潮安县,潮安区,潮州市
2013,广东省,梅县,梅县区,梅州市
2013,广西壮族自治区,苍梧县（部分）,龙圩区,梧州市
2013,广西壮族自治区,临桂县,临桂区,桂林市
2013,江苏省,高淳县,高淳区,南京市
2013,江苏省,溧水县,溧水区,南京市
2013,江西省,南康市（部分）,南康区,赣州市
2013,青海省,乐都县,乐都区,海东市
2013,青海省,玉树县,玉树市,玉树藏族自治州
2013,山东省,兖州市,兖州区,济宁市
2013,四川省,达县（部分）,达川区,达州市
2013,浙江省,上虞市,上虞区,绍兴市
2013,浙江省,绍兴县（部分）,柯桥区,绍兴市
2014,福建省,建阳市,建阳区,南平市
2014,福建省,永定县,永定区,龙岩市
2014,广东省,从化市,从化区,广州市
2014,广东省,阳东县,阳东区,阳江市
2014,广东省,云安县（部分）,云安区,云浮市
2014,广东省,增城市,增城区,广州市
2014,贵州省,平坝县,平坝区,安顺市
2014,海南省,三亚市（部分）,海棠区,三亚市
2014,海南省,三亚市（部分）,吉阳区,三亚市
2014,海南省,三亚市（部分）,天涯区,三亚市
2014,海南省,三亚市（部分）,崖州区,三亚市
2014,河北省,藁城市,藁城区,石家庄市
2014,河北省,鹿泉市,鹿泉区,石家庄市
2014,河北省,栾城县,栾城区,石家庄市
2014,河南省,开封县,祥符区,开封市
2014,黑龙江省,双城市,双城区,哈尔滨市
2014,湖北省,郧县,郧阳区,十堰市
2014,吉林省,九台市,九台区,长春市
2014,山东省,陵县,陵城区,德州市
2014,山东省,文登市,文登区,威海市
2014,山东省,沾化县,沾化区,滨州市
2014,陕西省,高陵县,高陵区,西安市
2014,四川省,彭山县,彭山区,眉山市
2014,西藏自治区,昌都县,卡若区,昌都市
2014,西藏自治区,日喀则市,桑珠孜区,日喀则市
2014,浙江省,富阳市,富阳区,杭州市
2014,重庆市,璧山县,璧山区,重庆市
2014,重庆市,铜梁县,铜梁区,重庆市
2015,安徽省,霍邱县（部分）,叶集区,六安市
2015,安徽省,铜陵县,义安区,铜陵市
2015,北京市,密云县,密云区,北京市
2015,北京市,延庆县,延庆区,北京市
2015,广东省,高要市,高要区,肇庆市
2015,广西壮族自治区,武鸣县,武鸣区,南宁市
2015,河北省,满城县,满城区,保定市
2015,河北省,清苑县,清苑区,保定市
2015,河北省,徐水县,徐水区,保定市
2015,河南省,陕县,陕州区,三门峡市
2015,江苏省,大丰市,大丰区,盐城市
2015,江苏省,抚宁县,抚宁区,秦皇岛市
2015,江苏省,金坛市,金坛区,常州市
2015,江西省,广丰县,广丰区,上饶市
2015,江西省,新建县,新建区,南昌市
2015,辽宁省,普兰店市,普兰店区,大连市
2015,青海省,平安县,平安区,海东市
2015,陕西省,横山县,横山区,榆林市
2015,陕西省,华县,华州区,渭南市
2015,四川省,双流县,双流区,成都市
2015,天津市,静海县,静海区,天津市
2015,天津市,宁河县,宁河区,天津市
2015,西藏自治区,堆龙德庆县,堆龙德庆区,拉萨市
2015,西藏自治区,林芝县,巴宜区,林芝市
2015,新疆维吾尔自治区,吐鲁番市,高昌区,吐鲁番市
2015,云南省,江川县,江川区,玉溪市
2015,浙江省,洞头县,洞头区,温州市
2015,重庆市,荣昌县,荣昌区,重庆市
2015,重庆市,潼南县,潼南区,重庆市
2016,广西壮族自治区,宜州市,宜州区,河池市
2016,河北省,崇礼县,崇礼区,张家口市
2016,河北省,肥乡县,肥乡区,邯郸市
2016,河北省,冀州市,冀州区,衡水市
2016,河北省,万全县,万全区,张家口市
2016,河北省,永年县,永年区,邯郸市
2016,河南省,许昌县,建安区,许昌市
2016,黑龙江省,抚远县,抚远市,佳木斯市
2016,江苏省,洪泽县,洪泽区,淮安市
2016,江西省,东乡县,东乡区,抚州市
2016,江西省,赣县,赣县区,赣州市
2016,辽宁省,大洼县,大洼区,盘锦市
2016,辽宁省,辽中县,辽中区,沈阳市
2016,辽宁省,柳江县,柳州市,柳州市
2016,辽宁省,沾益县,沾益区,曲靖市
2016,辽宁省,遵义县,播州区,遵义市
2016,山东省,定陶县,定陶区,菏泽市
2016,山东省,垦利县,垦利区,东营市
2016,山东省,章丘市,章丘区,济南市
2016,陕西省,安塞县,安塞区,延安市
2016,陕西省,户县,鄠邑区,西安市
2016,上海市,崇明县,崇明区,上海市
2016,四川省,安县,安州区,绵阳市
2016,天津市,蓟县,蓟州区,天津市
2016,西藏自治区,乃东县,乃东区,山南市
2016,新疆维吾尔自治区,哈密市,伊州区,哈密市
2016,云南省,晋宁县,晋宁区,昆明市
2016,浙江省,奉化市,奉化区,宁波市
2016,重庆市,开县,开州区,重庆市
2016,重庆市,梁平县,梁平区,重庆市
2016,重庆市,武隆县,武隆区,重庆市
2017,福建省,长乐市,长乐区,福州市
2017,江西省,九江县,柴桑区,九江市
2017,山东省,即墨市,即墨区,青岛市
2017,陕西省,南郑县,南郑区,汉中市
2017,四川省,罗江县,罗江区,德阳市
2017,西藏自治区,达孜县,达孜区,拉萨市
